SGC Code,,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
5941005,"    One Hundred Mile House, DM",220,10,0,62,0,14,63,0,0,25,0,10,65,0,75,0,22,29,2,5,95,450,30,0,137,70,40,39,80,8,5,0,2,0,0,0,0,0,150,52,17,39,0,0,0,19,0,0,0,0,0,137,0,0,0,0,31,0,0,93,0,0,8,0,0,168,0,0,0,"2,200",5,0,0,"1,098",20,50,0,0,0,0,275,0,0,0,0,0,45,2,0,87,0,0,0,261,1,0,0,0,0,50,0,120,155,355,0,0,30,600,0,450,10,0,0,127,0,0,5,0,250,0,0,0,22,35,34,2,30,0,0,0,0,76,700,0,0,111,0,150,98,0,128,175,375,28,250,0,0,375,36,0,0,50,300,90,0,106,0,318,321,0,1,"2,567",1,0,124,0,10,4,5,0,0,73,50,0,0,15,0,0,10,10,0,0,3,1,0,250,8,0,760,131,0,412,100,25,23,0,15,0,5,0,25,"5,500",481,35,0,2,76,307,0,75,4,0,0,0,0,0,0,0,0,20,27,10,0,0,0,0,0,20,0,0,30,10,0,0,0,30,150,350,0,0,140,270,0,540,212,4,279,20,10,12,50,0,0,22,12,0,0,0,"2,130",70,0,"1,587",0,160,0
5941013,"    Quesnel, C",38,22,421,772,0,3,3,522,"3,500",0,35,0,42,0,0,110,10,0,0,0,0,0,99,20,20,0,680,328,172,70,65,"2,920",800,91,79,0,0,19,76,298,0,6,0,20,"1,503",0,10,0,0,251,0,"1,515",223,40,99,402,92,0,296,0,5,258,0,"1,956",10,600,294,939,260,0,"1,100",3,5,0,85,33,0,0,80,290,7,57,639,5,90,20,67,0,9,35,10,43,238,815,186,0,30,0,120,217,100,414,292,290,"1,264",80,0,0,50,0,403,0,0,0,12,4,28,761,31,215,0,0,22,0,200,0,1,750,"1,083",199,0,"1,000",0,17,30,385,0,183,"4,212",43,0,23,50,10,0,40,500,0,0,870,3,540,112,60,0,5,0,658,153,"18,062",0,16,34,0,0,632,0,0,0,0,346,375,136,755,"2,025",200,0,0,0,0,0,320,10,112,290,100,677,300,0,0,0,15,183,280,1,18,66,259,10,775,430,"1,293",512,10,0,222,"10,375",0,800,210,729,194,0,10,50,459,0,0,80,118,784,20,38,0,823,0,650,160,1,0,67,40,680,16,61,287,0,525,13,5,2,150,90,0,2,"2,050",100,170,28,150,206,0,92,175,260,0,"1,145",105,200,0,350,11,0,20,0
5941009,"    Williams Lake, C",0,240,25,0,30,0,0,575,0,0,0,30,100,62,54,"2,210",189,0,0,0,87,30,860,0,20,15,1,60,0,"1,000",700,415,0,30,386,0,"1,815",70,351,170,150,141,"3,766",12,41,853,7,20,0,75,13,13,423,0,400,210,0,73,50,21,66,300,360,10,903,0,375,3,0,"1,310",30,100,10,0,0,0,300,0,30,0,0,80,0,58,22,210,"4,300",105,0,25,12,47,35,145,100,0,0,175,795,915,52,329,"1,049","1,350",980,100,462,10,78,11,979,211,91,35,195,448,0,603,5,94,107,208,154,356,110,140,347,567,92,347,319,0,121,10,"1,449",554,517,38,250,"2,331",820,344,62,"3,140",65,0,66,73,119,35,"1,322",432,430,0,8,253,75,"10,702",0,39,42,52,510,318,24,924,0,50,"1,192",140,128,0,"2,096",840,20,180,0,37,33,50,0,515,55,535,123,921,608,637,433,15,0,0,190,55,"1,044",784,600,765,164,530,"6,670",184,0,0,134,0,"1,090",132,0,53,"9,015",10,"3,208",213,142,166,514,38,445,"1,289",334,310,966,386,738,75,669,45,250,679,575,502,"1,412",74,226,"10,014",26,106,809,48,587,12,138,27,22,1,0,224,200,450,2,0,1,0,24,30,"2,106",4,500,"1,445",546,110,211,9,85
5953,  Fraser-Fort George RD,"5,472",248,"4,318","3,937",220,534,"1,409","1,734","11,340","2,071","8,727","4,052",324,"3,525","1,872","1,097","4,637","1,571","3,660","1,899","4,794","1,988","1,243",36,"1,587",346,814,"5,934",804,"1,887","1,156","1,467","3,965","1,829",529,445,175,325,585,218,"2,857","2,511","1,150",881,"9,142",890,"3,510","2,936",900,"2,637",897,246,"3,434","21,464","7,574","3,023","2,097","3,025","2,587",346,726,"2,161","1,185","1,796","2,879","3,491","1,462",414,"3,800","1,513","1,642",332,"1,527","9,457",268,73,"1,193","2,586","1,138","4,597","3,487",434,"1,349",909,"1,635",994,"1,824",643,"1,441","1,640","2,560","3,109","2,551",651,463,189,225,"1,018",256,"1,724","2,156",512,"11,466",504,925,307,120,"1,070",909,917,"1,097","6,567",994,"14,975","6,258",550,"1,326","3,597","1,271","1,016",994,"1,678","4,201","10,623",781,"2,788","19,041","2,350","2,144","1,502",934,"1,202","2,499",611,260,"1,858","11,794","15,646","20,027","7,530","2,975","3,029","1,748",771,"2,745",906,"6,162",836,"4,907","2,132","2,169",462,"1,805",988,"4,428","3,136","2,569",254,64,"2,540","4,821","1,668","13,866",922,"1,234","11,035","1,817","1,170",970,40,"1,040",824,"1,505","2,993","20,823",270,836,"3,729",713,170,"1,803","3,830","2,576",396,"1,653",757,82,"6,902","1,176","3,082",805,129,837,"2,362","1,276",195,"3,227","5,673","19,043","21,602",31,"3,504","2,374","3,112","3,445","1,380","2,108","9,037","2,226","2,886","14,885","44,453","5,144",979,398,"1,884","1,508",730,575,"2,419","3,850",100,159,"9,076","12,142","19,520",80,754,"2,319","25,609","3,635","1,801","2,523","2,120","4,043","7,515",272,"6,880","1,472",278,88,978,"3,443",543,"3,724","1,531","2,600","2,032","27,207","2,829","1,055",420,"8,425","6,098",401,"1,538","2,347","3,865","3,399","1,016","2,292","2,487","1,667",399,"1,672"
5953000,"    Fraser-Fort George, RDR",0,0,0,0,0,56,230,0,0,0,0,0,0,0,0,0,0,0,760,0,0,0,0,0,0,0,0,174,0,58,0,642,0,0,29,0,0,0,0,0,102,4,60,98,150,330,0,0,0,0,0,32,0,390,0,100,45,0,0,0,394,0,0,0,40,466,201,75,150,0,188,0,0,0,78,0,0,0,0,60,0,15,200,0,0,0,0,0,95,0,0,0,0,0,0,0,15,0,0,631,0,15,0,0,0,0,67,0,0,562,0,31,0,0,12,0,500,50,0,0,0,0,46,0,0,0,0,282,151,0,20,0,126,385,0,0,0,0,196,130,50,100,6,50,0,0,0,0,86,265,0,59,0,409,0,0,0,0,0,100,0,0,0,0,0,0,174,0,0,0,0,363,52,18,0,0,23,0,0,0,0,0,0,231,0,309,0,0,0,0,0,6,17,0,0,28,777,"2,276",820,"3,983",0,726,132,31,0,0,0,"8,483",368,331,"2,277","4,274","4,893",967,0,0,0,0,0,18,0,88,19,76,233,0,0,50,0,0,0,0,336,0,"2,003",47,17,260,40,0,0,0,48,268,"1,004","1,253",160,47,0,0,0,280,"1,300",0,1,0,0,600,"1,962",0,100,"1,945",15,269,0
5953033,"    Mackenzie, DM",0,0,0,0,0,0,0,0,55,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,76,143,0,0,0,175,0,0,0,92,0,1,404,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,400,10,61,0,0,0,0,0,0,158,0,0,840,0,0,0,838,0,0,0,144,"4,608",0,"2,200",0,0,6,0,3,30,0,40,0,0,0,0,0,0,0,100,0,"2,500",0,0,0,0,0,820,0,0,0,850,0,0,0,0,0,0,8,"5,027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,967",0,610,0,165,0,110,0,0,0,0,400,"1,500",0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,"4,899",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,577",0,14,0,65,0,0,0,0,0,0,"3,700",400,0,0,0,24,0,500,0,0,0,"1,332"
5953012,"    McBride, VL",0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,188,0,72,0,54,0,0,0,10,0,0,0,0,100,1,1,0,0,1,0,0,0,0,10,0,630,62,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,66,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,20,0,0,0,10,0,0,0,35,0,0,0,0,0,0,73,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,140,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,64,0,0,0,0,0,18,0,0,0,20,0,0,0,0,0,0,0,0,26,0,0,0,0
5953023,"    Prince George, C","5,472",248,"4,318","3,937",220,478,"1,179","1,734","11,079","2,071","8,727","4,052",324,"3,500","1,872","1,097","4,637","1,571","2,900","1,899","4,794","1,988","1,243",36,"1,587",346,814,"5,760",700,"1,829","1,156",749,"3,822","1,829",500,445,0,315,585,218,"2,663","2,319","1,089",307,"8,992",506,"3,510","2,936",900,"2,627",897,214,"3,434","21,004","7,474","2,922","2,051","3,025","2,587",345,332,"2,161","1,185","1,796","2,829","3,025",631,277,"3,650","1,313","1,454",332,"1,527","9,457",190,13,"1,193","2,566","1,138","4,516","3,486",419,"1,149",909,"1,629",994,"1,824",623,"1,346","1,640","2,559","2,959","2,469",584,463,189,210,"1,018",256,"1,093","2,156",497,"11,466",504,925,307,50,"1,070",909,355,"1,097","6,536",944,"14,975","6,246",150,816,"3,486","1,271","1,016",994,"1,658","4,155","10,441",623,"2,788","19,041","1,228","1,993","1,502",584,364,"2,373",225,255,"1,714","7,186","15,646","17,631","6,765","2,925","2,923","1,742",718,"2,715",906,"6,122",836,"4,821","1,802","1,743",403,"1,615",579,"4,316","3,136",69,254,19,"2,440","4,821","1,663","13,034",472,"1,228","11,035",793,"1,170",970,0,"1,040",461,"1,413","2,967","15,796",270,813,"3,615",437,170,"1,103","3,130","2,558",165,"1,645",448,50,"2,702","1,176","3,067",790,100,820,"2,347","1,182",157,"2,450","1,430","18,223","16,974",31,"2,613","2,242","2,971","3,445","1,380","2,035",542,"1,458","1,054","12,608","40,179",246,12,394,"1,884","1,448",730,575,"2,394","3,850",12,0,"9,000","11,909","14,621",75,704,"2,319","25,609","3,635","1,799","1,918","2,120","1,750","7,213",205,"6,484","1,432",278,80,914,818,275,"2,641",278,"2,375","1,967","27,190","2,829","1,055",120,"7,125","2,398",0,"1,538","2,347","3,265","1,380",779,"1,666",542,"1,652",130,340
5953007,"    Valemount, VL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,21,1,0,0,0,6,0,0,20,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,182,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,426,0,190,0,0,0,0,0,45,0,0,5,0,450,6,0,0,0,0,0,0,0,40,0,0,0,0,114,276,0,700,700,18,0,0,0,30,"4,200",0,15,15,3,0,15,94,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,5,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,269,0,0,255,50,136,0,0,8,0,0,0,65,0,0,0,17,0,0,0,0,0,0,0,0,0,33,237,0,0,0,0,0
Development Region, North Coast DR,408,36,494,385,98,"1,861","5,211",128,239,107,178,42,137,99,183,152,226,352,290,120,220,486,"1,086",10,126,170,345,"1,595",307,169,"1,538",158,"1,073",482,53,"1,246",59,"2,989",239,645,123,405,152,754,"2,414",208,"1,540","6,508","1,794","5,169",487,418,716,"1,521",205,150,"1,041",300,227,3,"1,115",47,"2,231",347,20,"4,194","5,272",75,236,60,255,"1,465",241,564,298,310,159,989,"1,646",57,127,26,175,363,79,374,514,316,"2,107","9,777",889,833,215,141,747,52,"3,025",921,527,"2,840","17,844",288,"1,269",819,651,623,"1,613","4,325","1,618","13,266",566,"2,170","1,239","1,965","2,573","1,396","2,302","1,096",635,674,387,833,"2,670","3,869",389,"1,320","14,944","3,948",321,471,"3,501","2,391","4,186",366,285,"1,528","4,670","11,292",39,"2,274","2,747","1,411","20,500",727,38,655,"1,549","1,402",41,"2,334","1,334","12,458","13,069",184,166,473,42,351,927,292,120,"2,352",453,92,188,559,130,928,632,"1,078",567,"9,285","2,368",106,237,209,234,"1,662",106,295,120,500,114,136,"1,513",974,"1,246",6,"8,552",578,425,76,"2,349","12,561","183,745","7,634","26,884","10,203","12,718","21,830","11,444","9,470","7,992","10,455","14,016","7,993","5,816",355,465,"4,104","3,544","2,711","3,008","2,270","12,568","1,209","8,336",770,"7,240","1,416","3,968","2,506","8,083","12,198","3,887","2,102","2,706",210,602,485,"4,641","2,938",485,0,"10,282",195,190,"3,103",374,0,560,27,"8,175",460,132,"3,712",255,"5,286",466,647,0,65,213,"2,256",112,"6,706","18,155","1,075",318,743,297,194,"9,316",48,"1,337"
5949,  Kitimat-Stikine RD,283,11,1,91,42,"1,640","5,047",80,130,75,75,12,7,72,35,136,106,218,268,82,115,484,"1,034",3,4,54,216,"1,568",147,50,538,62,"1,005",479,51,"1,240",32,"2,848",172,207,25,253,2,40,406,180,57,"6,500",64,"5,128",222,342,713,478,172,135,840,287,186,3,40,47,"2,201",322,1,"3,980","5,227",25,161,60,117,"1,465",75,298,64,120,134,223,"1,599",23,122,7,175,0,57,11,34,50,"2,074","9,777",645,827,161,115,606,51,50,10,0,"2,200","17,844",163,979,470,78,620,"1,613","3,859","1,618","12,542",458,20,988,46,"2,494","1,315","2,235","1,096",524,674,366,669,"2,198","3,647",389,"1,305","14,812","3,837",178,197,"3,451","2,328","4,101",194,272,322,"3,555","11,272",39,"2,265","2,666","1,367","20,385",15,23,590,"1,315",0,21,"2,277","1,194","12,308","13,060",0,8,459,5,217,233,292,100,"1,986",450,57,92,145,72,928,337,82,419,"9,087","2,270",53,40,133,133,12,106,288,120,0,63,136,"1,267",890,"1,052",6,"8,547",253,425,53,"2,117","12,561","183,563","7,536","26,884","10,107","12,519","21,830","11,407","9,360","7,902","10,455","14,016","7,671","5,796",339,465,"3,802","3,543","2,711","2,560","2,050","11,325","1,209","8,330",770,"7,194","1,110","3,839","2,377",5,"12,198",0,"1,477","2,594",210,252,424,313,984,440,0,282,10,150,"3,053",374,0,503,1,691,340,100,"3,706",177,"5,251",66,383,0,65,50,"1,699",0,"6,500","18,081","1,000",180,648,65,80,"9,205",0,0
5949005,"    Kitimat, DM",48,11,1,61,25,190,13,0,130,40,0,12,5,32,10,6,105,178,13,0,0,484,90,0,0,10,73,51,0,0,0,0,0,3,19,805,6,35,0,150,25,142,2,40,200,50,57,"6,500",0,10,55,0,0,41,160,0,10,1,120,0,0,46,1,15,1,0,33,25,56,50,25,65,55,0,55,0,134,15,39,23,4,7,0,0,57,0,5,0,"2,074","9,748",20,20,0,0,391,0,35,7,0,"1,300","16,690",0,950,467,56,55,"1,295","3,500","1,618","12,395",67,0,60,20,868,"1,213","2,147",1,19,630,0,0,"1,034",75,85,"1,270","14,319",985,50,15,0,"2,171","4,012",104,1,150,0,"9,052",7,10,31,87,"8,970",0,8,0,0,0,0,"2,252",819,"10,800","12,050",0,8,0,0,200,29,281,0,0,450,0,72,0,0,333,0,27,416,2,0,0,0,115,8,0,0,0,0,0,0,46,155,0,"1,034",6,13,0,145,0,"1,689","12,300","183,348","7,411","26,254","9,982","11,755","14,830","11,378","9,210","7,902","10,413","14,016","7,626","5,768",330,27,"2,651","3,417","2,655",0,"2,050","11,255","1,086",0,732,"7,150","1,000","3,803","2,352",0,"12,193",0,915,"2,122",110,147,304,313,984,40,0,282,10,0,"2,691",100,0,491,1,186,300,0,"3,681",0,"5,251",0,383,0,45,0,145,0,"6,500","2,359",0,0,30,0,0,"9,155",0,0
5949011,"    Terrace, C",235,0,0,30,17,"1,450","5,034",80,0,35,75,0,2,40,25,130,1,40,255,82,115,0,944,3,4,44,143,"1,517",147,50,538,62,"1,005",476,32,435,26,"2,813",172,57,0,111,0,0,206,130,0,0,64,"5,118",167,342,713,437,12,135,830,286,66,3,40,1,"2,200",307,0,"3,980","5,194",0,105,10,92,"1,400",20,298,9,120,0,208,"1,560",0,118,0,175,0,0,11,29,50,0,29,625,807,161,115,215,51,15,3,0,900,"1,154",163,29,3,22,565,318,359,0,147,391,20,928,26,"1,626",102,88,"1,095",505,44,366,669,"1,164","3,572",304,35,493,"2,852",128,182,"3,451",157,89,90,271,172,"3,555","2,220",32,"2,255","2,635","1,280","11,415",15,15,590,"1,315",0,21,25,375,"1,508","1,010",0,0,459,5,17,204,11,100,"1,986",0,57,20,145,72,595,337,55,3,"9,085","2,270",53,40,18,125,12,106,288,120,0,63,90,"1,112",890,18,0,"8,534",253,280,53,428,261,215,125,630,125,764,"7,000",29,150,0,42,0,45,28,9,438,"1,151",126,56,"2,560",0,70,123,"8,330",38,44,110,36,25,5,5,0,562,472,100,105,120,0,0,400,0,0,0,150,362,274,0,12,0,505,40,100,25,177,0,66,0,0,20,50,"1,554",0,0,"15,722","1,000",180,618,65,80,50,0,0
5947,  Skeena-Queen Charlotte RD,125,25,493,294,56,221,164,48,109,32,103,30,130,27,148,16,120,134,22,38,105,2,52,7,122,116,129,27,160,119,"1,000",96,68,3,2,6,27,141,67,438,98,152,150,714,"2,008",28,"1,483",8,"1,730",41,265,76,3,"1,043",33,15,201,13,41,0,"1,075",0,30,25,19,214,45,50,75,0,138,0,166,266,234,190,25,766,47,34,5,19,0,363,22,363,480,266,33,0,244,6,54,26,141,1,"2,975",911,527,640,0,125,290,349,573,3,0,466,0,724,108,"2,150",251,"1,919",79,81,67,0,111,0,21,164,472,222,0,15,132,111,143,274,50,63,85,172,13,"1,206","1,115",20,0,9,81,44,115,712,15,65,234,"1,402",20,57,140,150,9,184,158,14,37,134,694,0,20,366,3,35,96,414,58,0,295,996,148,198,98,53,197,76,101,"1,650",0,7,0,500,51,0,246,84,194,0,5,325,0,23,232,0,182,98,0,96,199,0,37,110,90,0,0,322,20,16,0,302,1,0,448,220,"1,243",0,6,0,46,306,129,129,"8,078",0,"3,887",625,112,0,350,61,"4,328","1,954",45,0,"10,000",185,40,50,0,0,58,26,"7,484",120,32,6,78,35,400,265,0,0,163,558,112,206,75,75,138,95,232,114,111,48,"1,337"
5947023,"    Massett, VL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,25,0,0,6,14,2,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,70,0,0,0,39,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,8,0,0,0,0,0,30,0,10,0,0,0,0,162,0,0,0,49,80,207,0,0,0,0,0,50,20,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5947007,"    Port Edward, DM",0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,229,0,0,0,100,112,206,75,75,138,95,81,89,61,0,0
5947012,"    Prince Rupert, C",125,25,493,294,56,221,164,48,109,32,103,30,117,27,148,16,120,134,22,38,105,2,52,7,122,91,129,27,160,119,"1,000",96,68,3,2,6,27,141,67,438,98,152,150,714,"2,008",28,"1,483",8,"1,730",41,265,76,3,"1,043",33,15,201,13,41,0,"1,070",0,30,0,19,214,39,33,73,0,95,0,166,16,234,190,25,766,47,34,5,19,0,363,22,363,480,263,33,0,174,6,54,26,102,1,"2,975",911,527,640,0,125,290,349,482,3,0,466,0,724,100,150,251,"1,919",79,81,37,0,101,0,21,164,472,60,0,15,132,62,63,67,50,63,85,172,13,"1,156","1,095",20,0,9,72,44,115,712,15,65,234,"1,402",20,35,140,150,8,183,158,14,37,134,693,0,5,366,3,20,36,397,0,0,293,996,0,168,12,53,197,76,101,"1,650",0,7,0,500,51,0,246,84,194,0,5,325,0,23,232,0,182,98,0,96,199,0,37,110,90,0,0,322,20,16,0,302,1,0,448,220,"1,243",0,6,0,46,306,129,129,"8,078",0,"3,887",625,112,0,350,61,"4,328","1,954",45,0,"10,000",185,40,50,0,0,45,26,"7,484",120,32,6,78,35,400,36,0,0,163,458,0,0,0,0,0,0,151,25,50,48,"1,337"
5947026,"    Queen Charlotte, VL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,17,58,0,2,0,148,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
