SGC Code,,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
5953023,"    Prince George, C",0,0,242,"4,150",626,0,"9,447",180,"4,675",225,"2,000",57,8,0,0,74,4,315,224,432,"1,249",5,258,0,604,0,"6,323",10,159,0,0,"24,162","1,027",225,1,"3,961",0,17,0,0,"25,395",411,268,14,800,0,646,0,0,0,32,"1,787",173,340,"1,087",0,0,343,"35,423",25,"3,623","4,328","2,280",0,0,895,500,85,6,"39,717",382,"3,623",0,0,0,0,1,"1,750",250,90,"7,340",933,516,"1,833",460,0,"3,000",81,0,"14,120","43,008",181,220,0,488,473,360,0,"1,100",8,0,50,641,15,513,"24,807",5,0,287,179,474,"1,786","1,380",0,247,13,0,0,0,0,98,"2,200",116,300,81,15,880,434,0,0,0,0,0,"6,533",651,38,760,426,585,160,454,0,0,259,0,80,35,90,0,"1,024",38,199,258,97,80,128,0,0,"1,426","3,200",0,50,684,0,0,200,110,0,30,290,"1,230","3,594",228,315,0,200,0,0,15,0,0,34,0,0,0,"34,371",168,200,228,0,692,0,50,0,0,12,"1,125","11,840","3,632",0,0,460,395,523,"1,070",0,0,0,"5,000",0,0,0,"1,614",250,0,0,800,0,0,"2,998",0,841,34,0,"2,281",0,"1,761",0,160,600,"1,481",75,0,"4,118","2,391",0,0,"1,460","3,500",0,"1,200",0,0,181,"1,724",0,722,200,0,"5,731",200,0,0,0,720,"49,945",0,0,454,0,0,"10,087","1,177","2,213","1,500"
5953007,"    Valemount, VL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,108,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,265,0,0,0,0,"7,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,155,0,0,0,0,0,0,0
Development Region, North Coast DR,379,197,6,332,236,54,281,47,1,22,0,7,0,27,448,21,"1,387",177,915,15,79,20,1,10,8,0,12,"1,372",4,"1,532","2,915",35,708,0,4,19,0,0,0,3,7,343,269,6,62,810,196,7,49,493,178,0,11,25,200,70,255,"11,167",0,159,0,208,53,0,78,"1,050",19,16,225,35,0,50,2,0,395,0,"1,339",122,"12,063",49,120,63,340,100,32,55,40,312,390,52,36,620,62,153,1,4,31,50,485,0,0,16,35,60,0,0,"4,647",0,0,60,738,0,2,0,338,0,0,0,0,"1,050",0,1,150,632,20,0,0,607,400,"1,259",0,"28,133",102,0,6,"1,410",39,0,250,16,779,54,6,0,1,236,17,"2,196",92,36,140,45,50,24,12,0,0,0,0,0,4,134,316,155,5,0,0,0,156,86,"1,570",256,"1,418",64,274,"3,163",105,0,0,0,22,0,61,"1,348",499,0,9,724,33,0,13,0,0,"1,230",20,0,600,0,82,103,79,64,135,73,963,18,0,0,"2,469",0,454,507,224,10,3,0,450,"1,900",0,"18,224","2,130",964,"5,750",415,0,"254,020","16,000",66,0,70,0,447,"22,176",185,100,15,15,0,397,27,0,251,0,40,20,"19,000",0,"8,050",0,0,0,0,8,0,"1,581",25,0,106,50,35,1,0,10,85,189
5949,  Kitimat-Stikine RD,378,194,4,308,236,41,265,47,1,16,0,2,0,18,341,11,"1,367",175,843,1,21,0,1,0,1,0,12,0,0,"1,505","1,100",35,506,0,4,19,0,0,0,0,0,0,4,6,18,799,22,7,49,300,178,0,11,25,60,0,239,"11,032",0,159,0,208,50,0,0,"1,050",19,16,40,35,0,0,0,0,200,0,"1,315",66,60,48,120,0,0,100,26,55,14,62,180,52,12,620,5,150,0,0,0,50,427,0,0,0,30,57,0,0,0,0,0,60,345,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,153",0,0,62,0,6,154,0,0,0,16,779,5,2,0,1,236,0,0,0,36,0,0,50,0,0,0,0,0,0,0,4,134,316,0,5,0,0,0,150,0,"1,400",0,"1,320",14,274,"2,460",105,0,0,0,7,0,61,"1,340",0,0,0,724,33,0,0,0,0,"1,230",20,0,0,0,82,103,79,64,135,73,963,0,0,0,"2,469",0,454,507,65,10,3,0,0,"1,900",0,"18,224","2,130",718,"5,600",0,0,"254,020","16,000",0,0,70,0,447,"21,952",185,100,15,15,0,0,0,0,251,0,20,20,0,0,50,0,0,0,0,0,0,63,0,0,0,50,35,1,0,0,85,64
5949005,"    Kitimat, DM",0,0,1,0,0,10,5,47,1,10,0,1,0,0,1,7,0,1,209,1,21,0,1,0,1,0,12,0,0,1,0,25,500,0,4,19,0,0,0,0,0,0,4,6,18,6,0,7,0,0,0,0,3,0,0,0,0,163,0,159,0,68,50,0,0,0,0,16,0,35,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,100,0,0,0,30,5,0,0,0,0,0,60,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,153",0,0,35,0,6,0,0,0,0,16,654,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,134,17,0,0,0,0,0,0,0,0,0,10,0,14,0,60,0,0,0,0,0,0,0,0,0,0,8,33,0,0,0,0,0,20,0,0,0,82,103,79,64,55,73,831,0,0,0,"2,469",0,300,264,35,10,0,0,0,0,0,0,"2,130",703,"5,600",0,0,244,0,0,0,70,0,447,"13,452",0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,85,64
5949011,"    Terrace, C",378,194,3,308,236,31,260,0,0,6,0,1,0,18,340,4,"1,367",174,634,0,0,0,0,0,0,0,0,0,0,"1,504","1,100",10,6,0,0,0,0,0,0,0,0,0,0,0,0,793,22,0,49,300,178,0,8,25,60,0,239,"10,869",0,0,0,140,0,0,0,"1,050",19,0,40,0,0,0,0,0,200,0,"1,315",66,10,48,120,0,0,100,26,55,14,0,180,52,12,620,5,150,0,0,0,50,327,0,0,0,0,52,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,154,0,0,0,0,125,0,0,0,1,236,0,0,0,36,0,0,50,0,0,0,0,0,0,0,0,0,299,0,5,0,0,0,150,0,"1,400",0,"1,310",14,260,"2,460",45,0,0,0,7,0,61,"1,340",0,0,0,716,0,0,0,0,0,"1,230",0,0,0,0,0,0,0,0,80,0,132,0,0,0,0,0,154,243,30,0,3,0,0,"1,900",0,"18,224",0,15,0,0,0,"253,776","16,000",0,0,0,0,0,"8,500",185,100,15,15,0,0,0,0,251,0,0,20,0,0,50,0,0,0,0,0,0,49,0,0,0,50,35,0,0,0,0,0
5947,  Skeena-Queen Charlotte RD,1,3,2,24,0,13,16,0,0,6,0,5,0,9,107,10,20,2,72,14,58,20,0,10,7,0,0,"1,372",4,27,"1,815",0,202,0,0,0,0,0,0,3,7,343,265,0,44,11,174,0,0,193,0,0,0,0,140,70,16,135,0,0,0,0,3,0,78,0,0,0,185,0,0,50,2,0,195,0,24,56,"12,003",1,0,63,340,0,6,0,26,250,210,0,24,0,57,3,1,4,31,0,58,0,0,16,5,3,0,0,"4,647",0,0,0,393,0,2,0,316,0,0,0,0,"1,050",0,1,150,632,20,0,0,607,400,106,0,"28,133",40,0,0,"1,256",39,0,250,0,0,49,4,0,0,0,17,"2,196",92,0,140,45,0,24,12,0,0,0,0,0,0,0,0,155,0,0,0,0,6,86,170,256,98,50,0,703,0,0,0,0,15,0,0,8,499,0,9,0,0,0,13,0,0,0,0,0,600,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,159,0,0,0,450,0,0,0,0,246,150,415,0,0,0,66,0,0,0,0,224,0,0,0,0,0,397,27,0,0,0,20,0,"19,000",0,"8,000",0,0,0,0,8,0,"1,518",25,0,106,0,0,0,0,10,0,125
5947023,"    Massett, VL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,150,0,20,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5947007,"    Port Edward, DM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5947012,"    Prince Rupert, C",1,3,2,24,0,13,16,0,0,6,0,5,0,9,107,10,20,2,72,14,58,20,0,10,7,0,0,"1,372",4,27,"1,815",0,202,0,0,0,0,0,0,3,7,343,265,0,44,11,174,0,0,193,0,0,0,0,140,70,16,135,0,0,0,0,0,0,78,0,0,0,185,0,0,50,2,0,195,0,24,56,"12,003",1,0,63,340,0,6,0,26,250,210,0,24,0,57,0,0,4,31,0,58,0,0,16,5,3,0,0,"4,647",0,0,0,393,0,2,0,0,0,0,0,0,"1,050",0,1,0,632,0,0,0,607,0,106,0,0,40,0,0,"1,256",39,0,250,0,0,49,4,0,0,0,17,180,92,0,140,45,0,24,12,0,0,0,0,0,0,0,0,125,0,0,0,0,6,86,170,256,98,50,0,703,0,0,0,0,15,0,0,8,499,0,9,0,0,0,13,0,0,0,0,0,600,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,159,0,0,0,450,0,0,0,0,246,150,415,0,0,0,66,0,0,0,0,224,0,0,0,0,0,397,27,0,0,0,20,0,"19,000",0,"8,000",0,0,0,0,8,0,"1,518",25,0,106,0,0,0,0,10,0,125
5947026,"    Queen Charlotte, VL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Development Region, Nechako DR,3,"1,115",0,0,111,382,85,506,24,130,0,90,0,0,0,700,"5,965",48,0,12,"1,094",5,0,0,0,4,29,60,"1,033",120,498,504,"3,059",220,"1,254","5,400",0,0,0,0,504,"2,778",0,0,0,18,0,225,0,0,34,843,73,200,0,15,"2,261",70,61,0,0,0,266,14,334,"1,150",4,10,0,"1,213",0,16,0,27,270,350,0,0,190,0,"2,105",0,530,0,123,63,"11,060",185,2,0,0,36,0,5,2,0,0,25,421,10,5,455,0,0,0,23,0,50,0,0,0,17,144,200,0,0,200,97,0,0,0,0,0,0,54,"7,376",0,0,"27,517",40,0,"1,055",0,60,0,0,0,"3,173",170,0,0,0,0,0,275,65,66,676,0,0,460,12,800,23,4,0,0,0,0,0,92,114,5,185,0,360,11,278,0,12,13,0,355,192,60,0,200,0,545,0,38,0,0,0,"2,850",175,140,903,100,"5,200",0,353,0,0,"2,213",635,505,0,150,0,"2,000",280,0,"4,480",0,0,125,0,0,"1,119",446,872,0,342,0,150,85,0,0,37,338,"1,015",0,200,72,"2,219",263,0,0,72,0,0,"82,085",0,0,698,0,"1,159",0,0,0,0,0,0,45,"6,600",484,3,"4,000",0,0,"2,700","2,436",375,0,0,0,30,0,33,43,59,0,0,0
5951,  Bulkley-Nechako RD,3,"1,115",0,0,111,382,85,506,24,130,0,90,0,0,0,700,"5,965",48,0,12,"1,094",5,0,0,0,4,29,60,"1,033",120,498,504,"3,059",220,"1,254","5,400",0,0,0,0,504,"2,778",0,0,0,18,0,225,0,0,34,843,73,200,0,15,"2,261",70,61,0,0,0,266,14,334,"1,150",4,10,0,"1,213",0,16,0,27,270,350,0,0,190,0,"2,105",0,530,0,123,63,"11,060",185,2,0,0,36,0,5,2,0,0,25,421,10,5,455,0,0,0,23,0,50,0,0,0,17,144,200,0,0,200,97,0,0,0,0,0,0,54,"7,376",0,0,"27,517",40,0,"1,055",0,60,0,0,0,"3,173",170,0,0,0,0,0,275,65,66,676,0,0,460,12,800,23,4,0,0,0,0,0,92,114,5,185,0,360,11,278,0,12,13,0,355,192,60,0,200,0,545,0,38,0,0,0,"2,850",175,140,903,100,"5,200",0,353,0,0,"2,213",635,505,0,150,0,"2,000",280,0,"4,480",0,0,125,0,0,"1,119",446,872,0,342,0,150,85,0,0,37,338,"1,015",0,200,72,"2,219",263,0,0,72,0,0,"82,085",0,0,698,0,"1,159",0,0,0,0,0,0,45,"6,600",484,3,"4,000",0,0,"2,700","2,436",375,0,0,0,30,0,33,43,59,0,0,0
5951000,"    Bulkley-Nechako, RDR",0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,350,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,92,0,0,185,0,0,0,0,0,0,0,0,85,15,0,0,0,0,0,0,38,0,0,0,0,0,140,0,100,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,105,832,0,0,0,0,40,0,0,0,0,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,40,0,0,0
5951022,"    Burns Lake, VL",0,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,909",0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,500",0,0,"26,500",0,0,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,850",0,0,0,0,0,0,0,0,0,0,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5951013,"    Fort St. James, DM",3,0,0,0,68,0,0,35,15,90,0,0,0,0,0,0,550,0,0,1,0,0,0,0,0,0,0,0,12,40,0,450,0,0,0,0,0,0,0,0,0,449,0,0,0,0,0,0,0,0,0,0,68,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,48,0,48,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,46,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,32,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,"82,085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5951009,"    Fraser Lake, VL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,250",0,61,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5951032,"    Granisle, VL",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,394,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5951034,"    Houston, DM",0,0,0,0,0,0,0,0,0,40,0,90,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,60,0,0,0,54,100,0,"1,254","5,400",0,0,0,0,0,24,0,0,0,18,0,225,0,0,0,0,5,0,0,0,0,0,0,0,0,0,266,0,185,0,4,0,0,0,0,16,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,"1,017",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,360,0,0,0,0,0,0,80,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5951043,"    Smithers, T",0,150,0,0,0,0,85,471,9,0,0,0,0,0,0,0,0,48,0,11,"1,024",5,0,0,0,4,0,0,"1,021",80,0,0,0,1,0,0,0,0,0,0,0,"2,305",0,0,0,0,0,0,0,0,34,523,0,0,0,0,11,0,0,0,0,0,0,0,149,0,0,10,0,0,0,0,0,0,130,0,0,0,0,0,500,0,482,0,75,0,"11,060",182,0,0,0,0,0,0,0,0,0,25,0,0,5,95,0,0,0,23,0,0,0,0,0,17,98,0,0,0,0,97,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,60,0,0,0,"3,173",0,0,0,0,0,0,0,65,66,0,0,0,310,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,190,145,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,"5,200",0,350,0,0,0,0,0,0,0,0,0,0,0,"4,480",0,0,0,0,0,725,72,0,0,0,0,0,45,0,0,0,0,0,0,200,0,0,213,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,"4,000",0,0,0,0,375,0,0,0,0,0,0,0,19,0,0,0
